"dataset_id","state","n"
"FIA_forest","AL",20
"FIA_forest","AR",19
"FIA_forest","AZ",19
"FIA_forest","CA",19
"FIA_forest","CO",18
"FIA_forest","CONUS",9
"FIA_forest","CT",17
"FIA_forest","DE",16
"FIA_forest","FL",16
"FIA_forest","GA",20
"FIA_forest","IA",20
"FIA_forest","ID",16
"FIA_forest","IL",19
"FIA_forest","IN",20
"FIA_forest","KS",19
"FIA_forest","KY",20
"FIA_forest","LA",17
"FIA_forest","MA",17
"FIA_forest","MD",16
"FIA_forest","ME",20
"FIA_forest","MI",20
"FIA_forest","MN",20
"FIA_forest","MO",20
"FIA_forest","MS",12
"FIA_forest","MT",17
"FIA_forest","NC",17
"FIA_forest","ND",19
"FIA_forest","NE",19
"FIA_forest","NH",18
"FIA_forest","NJ",16
"FIA_forest","NM",15
"FIA_forest","NV",16
"FIA_forest","NY",18
"FIA_forest","OH",19
"FIA_forest","OK",12
"FIA_forest","OR",19
"FIA_forest","PA",20
"FIA_forest","RI",17
"FIA_forest","SC",20
"FIA_forest","SD",19
"FIA_forest","TN",20
"FIA_forest","TX",18
"FIA_forest","UT",20
"FIA_forest","VA",19
"FIA_forest","VT",17
"FIA_forest","WA",18
"FIA_forest","WI",20
"FIA_forest","WV",16
"FIA_forest","WY",9
